team,reached_knockout,source_url,retrieved_date
ALG,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
ARG,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
AUS,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
AUT,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
BEL,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
BIH,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
BRA,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
CAN,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
CIV,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
COD,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
COL,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
CPV,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
CRO,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
CUW,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
CZE,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
ECU,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
EGY,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
ENG,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
ESP,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
FRA,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
GER,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
GHA,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
HAI,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
IRN,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
IRQ,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
JOR,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
JPN,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
KOR,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
KSA,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
MAR,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
MEX,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
NED,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
NOR,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
NZL,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
PAN,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
PAR,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
POR,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
QAT,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
RSA,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
SCO,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
SEN,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
SUI,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
SWE,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
TUN,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
TUR,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
URU,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
USA,true,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
UZB,false,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings,2026-08-31
