rank,player,team,position,goals,assists_x,minutes_played,source_url,retrieved_date,assists_y,attempts_on_target,attempts_at_goal,attempts_at_goal_conversion_pct,attempts_inside_penalty_area,attempts_outside_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,passes,passes_completed,passing_accuracy_pct,crosses,crossing_accuracy_pct,take_ons_completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy_pct,switches_of_play_attempted,switches_of_play_accuracy_pct,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied,top_speed_kmh,high_speed_running,sprints,total_distance_metres,reached_knockout,attempts_at_goal_per90,forced_turnovers_per90,total_distance_km_per90,direct_pressure_share_pct
1065,Tahith Chong,CUW,MF,0,0,267,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,2.0,4.0,0.0,2.0,2.0,0.0,0.2,0x,0.0,,,,,,,,,,,,,,,33.97,293.0,107.0,27318.08,False,1.348314606741573,,9.208341573033708,
233,Xaver Schlager,AUT,MF,0,1,265,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,,,,,,,,,,,138.0,130.0,94.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,,,,,32.74,371.0,91.0,28614.03,True,,,9.717972452830187,
1159,Rodrigo Bentancur,URU,MF,0,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,4.0,0.0,3.0,1.0,3.0,0.32,0x,0.0,174.0,157.0,90.0,3.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,9.0,82.0,15.0,32.57,352.0,145.0,33644.76,False,1.1501597444089455,2.587859424920128,9.67421214057508,18.29268292682927
269,Marawan Attia,EGY,MF,0,1,495,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,1.0,4.0,0.0,1.0,3.0,0.0,0.05,0x,0.0,357.0,313.0,88.0,8.0,38.0,0.0,15.0,47.0,8.0,100.0,,,,,33.03,829.0,260.0,56580.27,True,0.7272727272727273,,10.287321818181818,
1100,Thalente Mbatha,RSA,MF,0,0,293,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.11,0x,0.0,97.0,82.0,85.0,4.0,0.0,0.0,4.0,50.0,1.0,100.0,,,,,34.37,446.0,145.0,31917.63,True,1.2286689419795225,,9.804050170648464,
1032,Juan Manuel Sanabria,URU,MF,0,0,237,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.09,0x,0.0,103.0,89.0,86.0,12.0,0.0,0.0,4.0,75.0,0.0,0.0,0.0,9.0,51.0,12.0,32.57,320.0,129.0,25094.45,False,1.139240506329114,3.4177215189873418,9.529537974683544,23.529411764705884
1229,Antoine Semenyo,GHA,MF,0,0,414,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,6.0,0.0,3.0,3.0,1.0,0.26,0x,0.0,,,,,,,,,,,,,,,35.12,285.0,167.0,39933.84,True,1.3043478260869563,,8.681269565217391,
51,Emam Ashour,EGY,MF,2,0,395,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,2.0,10.0,20.0,5.0,5.0,1.0,1.06,1.89x,4.0,207.0,176.0,85.0,3.0,0.0,3.0,7.0,57.0,3.0,100.0,,,,,33.46,522.0,185.0,42840.52,True,2.278481012658228,,9.761131139240506,
1215,Aiden Oneill,AUS,MF,0,0,406,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.07,0x,4.0,172.0,142.0,83.0,8.0,50.0,3.0,12.0,42.0,3.0,33.0,0.0,25.0,105.0,15.0,32.78,648.0,186.0,47323.13,True,0.4433497536945813,5.541871921182266,10.490349014778324,14.285714285714286
13,Johan Manzambi,SUI,MF,3,2,220,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,2.0,3.0,6.0,50.0,4.0,2.0,0.0,0.63,4.73x,0.0,,,,,,,,,,,0.0,14.0,102.0,13.0,33.9,345.0,113.0,24380.51,True,2.4545454545454546,5.727272727272727,9.973845,12.745098039215684
188,Ryan Gravenberch,NED,MF,0,2,374,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,2.0,0.0,5.0,0.0,2.0,3.0,0.0,0.25,0x,0.0,126.0,111.0,88.0,5.0,20.0,5.0,3.0,67.0,0.0,0.0,,,,,35.61,443.0,129.0,37432.87,True,1.2032085561497323,,9.00790989304813,
78,Felix Nmecha,GER,MF,1,1,299,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,3.0,8.0,13.0,3.0,5.0,0.0,0.49,2.04x,0.0,131.0,120.0,92.0,2.0,0.0,5.0,4.0,75.0,1.0,0.0,,,,,34.97,442.0,141.0,33325.14,True,2.408026755852843,,10.030978595317723,
1216,Moises Caicedo,ECU,MF,0,0,407,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,1.0,4.0,0.0,1.0,3.0,1.0,0.19,0x,8.0,295.0,264.0,89.0,16.0,44.0,0.0,13.0,54.0,3.0,100.0,0.0,16.0,83.0,28.0,34.49,505.0,134.0,42353.4,True,0.8845208845208845,3.538083538083538,9.365616707616708,33.734939759036145
220,Lucas Bergvall,SWE,MF,0,1,207,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.68,0x,0.0,88.0,80.0,91.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,10.0,60.0,13.0,32.58,283.0,89.0,23862.93,True,0.8695652173913043,4.3478260869565215,10.375186956521738,21.666666666666668
1047,Amar Memic,BIH,MF,0,0,254,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.19,0x,0.0,,,,,,,,,,,,,,,33.94,306.0,152.0,27462.49,True,1.062992125984252,,9.730803543307086,
1196,Ibrahim Maza,ALG,MF,0,0,389,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,3.0,11.0,0.0,7.0,4.0,1.0,1.06,0x,0.0,141.0,111.0,79.0,1.0,0.0,12.0,13.0,46.0,1.0,100.0,,,,,32.71,524.0,152.0,44461.44,True,2.544987146529563,,10.28670848329049,
231,Christian Pulisic,USA,FW,0,1,253,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,2.0,4.0,0.0,2.0,2.0,0.0,0.42,0x,1.0,,,,,,,,,,,,,,,33.69,380.0,137.0,29436.84,True,1.4229249011857708,,10.471603162055336,
1093,Tani Oluwaseyi,CAN,FW,0,0,288,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,4.0,8.0,0.0,8.0,0.0,2.0,0.99,0x,0.0,,,,,,,,,,,,,,,34.87,350.0,172.0,29357.02,True,2.5,,9.17406875,
964,Mohamed Toure,AUS,FW,0,0,182,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,1.0,4.0,0.0,4.0,0.0,1.0,0.26,0x,0.0,,,,,,,,,,,0.0,3.0,86.0,5.0,35.77,217.0,79.0,19508.03,True,1.978021978021978,1.4835164835164836,9.64682802197802,5.813953488372093
24,Kai Havertz,GER,FW,3,0,392,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,7.0,12.0,25.0,11.0,1.0,7.0,2.0,1.5x,0.0,117.0,101.0,86.0,3.0,67.0,1.0,2.0,0.0,0.0,0.0,,,,,32.93,577.0,202.0,44897.03,True,2.7551020408163263,,10.307991581632653,
29,Crysencio Summerville,NED,FW,2,2,282,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,2.0,2.0,2.0,100.0,1.0,1.0,0.0,0.16,12.33x,3.0,,,,,,,,,,,,,,,34.72,285.0,131.0,28089.07,True,0.6382978723404256,,8.964596808510638,
1176,Jeremy Doku,BEL,FW,0,0,341,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.14,0x,0.0,90.0,74.0,82.0,11.0,36.0,21.0,16.0,81.0,0.0,0.0,,,,,34.68,443.0,172.0,35176.6,True,0.7917888563049854,,9.284146627565985,
184,Roberto Alvarado,MEX,FW,0,3,476,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,3.0,0.0,5.0,0.0,2.0,3.0,0.0,0.28,0x,14.0,201.0,163.0,81.0,34.0,32.0,7.0,17.0,47.0,1.0,100.0,,,,,33.21,567.0,185.0,50296.79,True,0.9453781512605044,,9.509897268907563,
88,Desire Doue,FRA,FW,1,1,449,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,8.0,13.0,8.0,4.0,9.0,1.0,0.71,1.41x,2.0,196.0,167.0,85.0,5.0,40.0,10.0,15.0,47.0,3.0,100.0,,,,,33.5,587.0,269.0,49084.57,True,2.6057906458797326,,9.838777951002228,
1190,Omar Marmoush,EGY,FW,0,0,369,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,1.0,11.0,0.0,8.0,3.0,0.0,0.91,0x,3.0,,,,,,,,,,,,,,,35.17,321.0,165.0,35476.36,True,2.6829268292682924,,8.652770731707317,
234,Nicolas Jackson,SEN,FW,0,1,271,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,3.0,7.0,0.0,6.0,1.0,2.0,0.56,0x,0.0,,,,,,,,,,,,,,,33.52,304.0,154.0,28133.46,True,2.3247232472324724,,9.34321549815498,
33,Nicolas Pepe,CIV,FW,2,1,255,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,3.0,6.0,33.0,5.0,1.0,0.0,1.42,1.41x,6.0,109.0,93.0,85.0,10.0,30.0,5.0,10.0,60.0,0.0,0.0,,,,,33.77,289.0,154.0,25237.91,True,2.117647058823529,,8.907497647058824,
976,Dodi Lukebakio,BEL,FW,0,0,194,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,1.0,7.0,0.0,5.0,2.0,1.0,0.41,0x,0.0,,,,,,,,,,,,,,,33.68,232.0,101.0,20237.33,True,3.2474226804123707,,9.38845206185567,
11,Bukayo Saka,ENG,FW,3,3,411,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,3.0,7.0,13.0,23.0,11.0,2.0,1.0,1.72,1.74x,5.0,101.0,81.0,80.0,23.0,22.0,12.0,11.0,73.0,2.0,100.0,,,,,33.01,518.0,213.0,42010.73,True,2.8467153284671536,,9.1994299270073,
60,Anthony Gordon,ENG,FW,1,3,442,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,3.0,4.0,6.0,17.0,6.0,0.0,2.0,0.7,1.43x,0.0,113.0,96.0,85.0,10.0,20.0,10.0,18.0,72.0,0.0,0.0,,,,,35.79,474.0,232.0,43686.72,True,1.2217194570135748,,8.895485972850679,
133,Thapelo Maseko,RSA,FW,1,0,255,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,1.0,8.0,13.0,4.0,4.0,0.0,0.47,2.13x,1.0,,,,,,,,,,,,,,,35.17,299.0,159.0,27093.85,True,2.8235294117647056,,9.562535294117646,
1013,Giuliano Simeone,ARG,FW,0,0,217,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,0x,0.0,,,,,,,,,,,,,,,35.2,296.0,114.0,23625.58,True,0.4147465437788018,,9.798627649769587,
1072,Akram Afif,QAT,FW,0,0,269,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.16,0x,7.0,93.0,73.0,78.0,12.0,33.0,2.0,12.0,42.0,3.0,67.0,,,,,33.21,194.0,104.0,23536.07,False,0.6691449814126393,,7.87452156133829,
4,Erling Haaland,NOR,FW,7,0,537,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,12.0,19.0,37.0,18.0,1.0,7.0,4.62,1.51x,0.0,,,,,,,,,,,,,,,36.52,375.0,172.0,49468.92,True,3.184357541899441,,8.290880446927375,
1,Kylian Mbappe,FRA,FW,10,4,769,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,4.0,23.0,41.0,24.0,27.0,14.0,0.0,6.54,1.53x,5.0,232.0,201.0,87.0,10.0,10.0,28.0,31.0,81.0,12.0,92.0,,,,,37.61,529.0,250.0,66726.57,True,4.798439531859558,,7.809351495448635,
18,Bradley Barcola,FRA,FW,3,1,432,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,5.0,10.0,30.0,7.0,3.0,1.0,1.99,1.51x,0.0,117.0,106.0,91.0,7.0,14.0,11.0,11.0,73.0,0.0,0.0,,,,,36.32,340.0,165.0,42770.58,True,2.083333333333333,,8.9105375,
9,Julian Quinones,MEX,FW,4,1,440,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,6.0,14.0,29.0,8.0,6.0,2.0,2.27,1.76x,0.0,135.0,111.0,82.0,4.0,50.0,5.0,7.0,100.0,2.0,100.0,0.0,13.0,162.0,12.0,33.01,581.0,251.0,47274.89,True,2.8636363636363638,2.659090909090909,9.669863863636364,7.407407407407407
22,Folarin Balogun,USA,FW,3,0,348,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,5.0,14.0,21.0,14.0,0.0,2.0,2.02,1.49x,0.0,,,,,,,,,,,0.0,29.0,106.0,7.0,35.6,329.0,183.0,34951.64,True,3.6206896551724137,7.5,9.039217241379308,6.60377358490566
39,Ayase Ueda,JPN,FW,2,1,349,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,1.0,4.0,9.0,22.0,5.0,4.0,2.0,0.63,3.15x,0.0,,,,,,,,,,,,,,,33.3,385.0,141.0,36607.93,True,2.3209169054441263,,9.440440401146132,
1055,Ange Yoan Bonny,CIV,FW,0,0,258,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,,,,,,,,,,,,,,,,,,,,,,,,,32.89,314.0,113.0,26951.82,True,,,9.401797674418605,
1202,Ermedin Demirovic,BIH,FW,0,0,399,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,4.0,4.0,0.0,1.0,3.0,0.0,0.08,0x,0.0,,,,,,,,,,,0.0,19.0,131.0,15.0,32.99,375.0,176.0,40423.23,True,0.9022556390977444,4.285714285714286,9.11802180451128,11.450381679389311
64,Viktor Gyokeres,SWE,FW,1,2,400,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,2.0,6.0,12.0,8.0,9.0,3.0,0.0,1.39,0.72x,0.0,,,,,,,,,,,0.0,14.0,75.0,4.0,34.75,426.0,177.0,42857.3,True,2.7,3.1500000000000004,9.6428925,5.333333333333333
255,Pedro Neto,POR,FW,0,1,381,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,,,,,,,,,,,155.0,137.0,88.0,13.0,23.0,7.0,11.0,73.0,2.0,50.0,,,,,35.33,368.0,208.0,37581.23,True,,,8.877455905511813,
25,Yoane Wissa,COD,FW,3,0,409,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,3.0,11.0,27.0,7.0,4.0,2.0,1.79,1.68x,0.0,,,,,,,,,,,,,,,33.41,384.0,140.0,41481.27,True,2.4205378973105134,,9.12790782396088,
1156,Enner Valencia,ECU,FW,0,0,311,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10,0.0,6.0,10.0,0.0,9.0,1.0,2.0,1.53,0x,0.0,,,,,,,,,,,0.0,8.0,91.0,11.0,33.11,233.0,108.0,29489.89,True,2.893890675241157,2.315112540192926,8.534051768488746,12.087912087912088
1014,Joao Felix,POR,FW,0,0,218,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31,0.0,1.0,6.0,0.0,4.0,2.0,1.0,0.62,0x,0.0,,,,,,,,,,,,,,,32.71,276.0,94.0,23784.61,True,2.4770642201834865,,9.819334403669725,
